model,reason_tokens,kv_mib,kv_seq_len
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,11,433.969,3086
Alpamayo1.5,7,433.406,3082
Alpamayo1.5,9,433.688,3084
Alpamayo1.5,7,433.406,3082
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,9,433.688,3084
Alpamayo1.5,12,434.109,3087
Alpamayo1.5,12,434.109,3087
Alpamayo1.5,33,437.062,3108
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,12,434.109,3087
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,7,433.406,3082
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,8,433.547,3083
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,9,433.688,3084
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,10,433.828,3085
Alpamayo1.5,20,435.234,3095
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,20,435.234,3095
Alpamayo1.5,10,433.828,3085
Alpamayo1.5,10,433.828,3085
Alpamayo1.5,9,433.688,3084
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,9,433.688,3084
Alpamayo1.5,7,433.406,3082
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,7,433.406,3082
Alpamayo1.5,6,433.266,3081
Alpamayo1.5,10,433.828,3085
Alpamayo1.5,6,433.266,3081
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,8,772.750,3091
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,11,773.500,3094
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
Alpamayo2Super,6,772.250,3089
